,Player Name,Salary
1.,Stephen Curry,"$45,780,966"
2.,John Wall,"$44,310,840"
2.,James Harden,"$44,310,840"
4.,Russell Westbrook,"$44,211,146"
5.,LeBron James,"$41,180,544"
6.,Kevin Durant,"$40,918,900"
7.,Paul George,"$39,344,970"
8.,Kawhi Leonard,"$39,344,900"
8.,Giannis Antetokounmpo,"$39,344,900"
8.,Damian Lillard,"$39,344,900"
11.,Klay Thompson,"$37,980,720"
12.,Jimmy Butler,"$36,016,200"
13.,Tobias Harris,"$35,995,950"
14.,Khris Middleton,"$35,500,000"
15.,Anthony Davis,"$35,361,360"
16.,Kyrie Irving,"$35,053,700"
17.,Kemba Walker,"$34,967,442"
18.,Rudy Gobert,"$34,844,000"
19.,Bradley Beal,"$33,724,200"
20.,Ben Simmons,"$33,003,936"
20.,Pascal Siakam,"$33,003,936"
22.,Jrue Holiday,"$32,431,333"
23.,Blake Griffin,"$32,405,817"
24.,Karl-Anthony Towns,"$31,650,600"
24.,Devin Booker,"$31,650,600"
24.,Kristaps Porzingis,"$31,650,600"
27.,Nikola Jokic,"$31,579,390"
27.,Andrew Wiggins,"$31,579,390"
27.,Joel Embiid,"$31,579,390"
30.,Kevin Love,"$31,258,256"
31.,CJ McCollum,"$30,864,198"
32.,Chris Paul,"$30,800,000"
33.,D'Angelo Russell,"$30,013,500"
34.,Gordon Hayward,"$29,925,000"
35.,Jamal Murray,"$29,467,800"
35.,Brandon Ingram,"$29,467,800"
37.,Jayson Tatum,"$28,103,500"
37.,Bam Adebayo,"$28,103,500"
37.,De'Aaron Fox,"$28,103,500"
37.,Donovan Mitchell,"$28,103,500"
41.,Al Horford,"$27,000,000"
42.,Kyle Lowry,"$26,984,128"
43.,Jaylen Brown,"$26,758,928"
44.,DeMar DeRozan,"$26,000,000"
45.,Draymond Green,"$24,026,712"
46.,Nikola Vucevic,"$24,000,000"
47.,Buddy Hield,"$23,073,234"
48.,John Collins,"$23,000,000"
49.,Julius Randle,"$21,780,000"
50.,Malcolm Brogdon,"$21,700,000"
51.,Tim Hardaway Jr,"$21,306,816"
52.,Mike Conley,"$21,000,000"
53.,Gary Harris,"$20,932,143"
54.,Danilo Gallinari,"$20,475,000"
55.,Harrison Barnes,"$20,284,091"
56.,Jerami Grant,"$20,002,500"
57.,Jarrett Allen,"$20,000,000"
58.,Fred VanVleet,"$19,675,926"
